date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:33:24	59515/59515	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Apr%202022%2012:03:23%20GMT	https://demo.w3layouts.com/demos_new/template_demo/07-12-2021/shoppykart-liberty-demo_Free/1589417704/web/index.html	C:/My%20Web%20Sites/falguni/demo.w3layouts.com/demos_new/template_demo/07-12-2021/shoppykart-liberty-demo_Free/1589417704/web/index.html	(from )
17:33:25	1002/1002	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Apr%202022%2012:03:24%20GMT	https://demo.w3layouts.com/robots.txt		(from )
17:33:28	434426/434426	---M-Z	200	added ('OK')	text/css	etag:%221638871549%22	https://demo.w3layouts.com/demos_new/template_demo/07-12-2021/shoppykart-liberty-demo_Free/1589417704/web/assets/css/style-liberty.css	C:/My%20Web%20Sites/falguni/demo.w3layouts.com/demos_new/template_demo/07-12-2021/shoppykart-liberty-demo_Free/1589417704/web/assets/css/style-liberty.css	(from https://demo.w3layouts.com/demos_new/template_demo/07-12-2021/shoppykart-liberty-demo_Free/1589417704/web/index.html)
17:33:29	65643/65643	---MCZ	200	added ('OK')	application/javascript	etag:W/%22db22853bb2e8616f35c350891dd906bd%22	http://m.servedby-buysellads.com/monetization.js	C:/My%20Web%20Sites/falguni/m.servedby-buysellads.com/monetization.js	(from https://demo.w3layouts.com/demos_new/template_demo/07-12-2021/shoppykart-liberty-demo_Free/1589417704/web/index.html)
17:33:29	24793/24793	---M-Z	200	added ('OK')	application/javascript	etag:%221570541238%22	https://demo.w3layouts.com/js/autotrack.js	C:/My%20Web%20Sites/falguni/demo.w3layouts.com/js/autotrack.js	(from https://demo.w3layouts.com/demos_new/template_demo/07-12-2021/shoppykart-liberty-demo_Free/1589417704/web/index.html)
17:33:29	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221611161698%22	https://demo.w3layouts.com/assests/css/font-awesome.min.css	C:/My%20Web%20Sites/falguni/demo.w3layouts.com/assests/css/font-awesome.min.css	(from https://demo.w3layouts.com/demos_new/template_demo/07-12-2021/shoppykart-liberty-demo_Free/1589417704/web/index.html)
17:33:30	30106/30106	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Apr%202022%2012:03:29%20GMT	https://demo.w3layouts.com/demos_new/template_demo/07-12-2021/shoppykart-liberty-demo_Free/1589417704/web/about.html	C:/My%20Web%20Sites/falguni/demo.w3layouts.com/demos_new/template_demo/07-12-2021/shoppykart-liberty-demo_Free/1589417704/web/about.html	(from https://demo.w3layouts.com/demos_new/template_demo/07-12-2021/shoppykart-liberty-demo_Free/1589417704/web/index.html)
17:33:30	59787/59787	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Apr%202022%2012:03:30%20GMT	https://demo.w3layouts.com/demos_new/template_demo/07-12-2021/shoppykart-liberty-demo_Free/1589417704/web/products.html	C:/My%20Web%20Sites/falguni/demo.w3layouts.com/demos_new/template_demo/07-12-2021/shoppykart-liberty-demo_Free/1589417704/web/products.html	(from https://demo.w3layouts.com/demos_new/template_demo/07-12-2021/shoppykart-liberty-demo_Free/1589417704/web/index.html)
17:33:31	44374/44374	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Apr%202022%2012:03:30%20GMT	https://demo.w3layouts.com/demos_new/template_demo/07-12-2021/shoppykart-liberty-demo_Free/1589417704/web/product-single.html	C:/My%20Web%20Sites/falguni/demo.w3layouts.com/demos_new/template_demo/07-12-2021/shoppykart-liberty-demo_Free/1589417704/web/product-single.html	(from https://demo.w3layouts.com/demos_new/template_demo/07-12-2021/shoppykart-liberty-demo_Free/1589417704/web/index.html)
17:33:31	33844/33844	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Apr%202022%2012:03:31%20GMT	https://demo.w3layouts.com/demos_new/template_demo/07-12-2021/shoppykart-liberty-demo_Free/1589417704/web/checkout.html	C:/My%20Web%20Sites/falguni/demo.w3layouts.com/demos_new/template_demo/07-12-2021/shoppykart-liberty-demo_Free/1589417704/web/checkout.html	(from https://demo.w3layouts.com/demos_new/template_demo/07-12-2021/shoppykart-liberty-demo_Free/1589417704/web/index.html)
17:33:32	40970/40970	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Apr%202022%2012:03:32%20GMT	https://demo.w3layouts.com/demos_new/template_demo/07-12-2021/shoppykart-liberty-demo_Free/1589417704/web/blog.html	C:/My%20Web%20Sites/falguni/demo.w3layouts.com/demos_new/template_demo/07-12-2021/shoppykart-liberty-demo_Free/1589417704/web/blog.html	(from https://demo.w3layouts.com/demos_new/template_demo/07-12-2021/shoppykart-liberty-demo_Free/1589417704/web/index.html)
17:33:33	44842/44842	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Apr%202022%2012:03:32%20GMT	https://demo.w3layouts.com/demos_new/template_demo/07-12-2021/shoppykart-liberty-demo_Free/1589417704/web/blog-single.html	C:/My%20Web%20Sites/falguni/demo.w3layouts.com/demos_new/template_demo/07-12-2021/shoppykart-liberty-demo_Free/1589417704/web/blog-single.html	(from https://demo.w3layouts.com/demos_new/template_demo/07-12-2021/shoppykart-liberty-demo_Free/1589417704/web/index.html)
17:33:33	95915/95915	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Apr%202022%2012:03:33%20GMT	https://demo.w3layouts.com/demos_new/template_demo/07-12-2021/shoppykart-liberty-demo_Free/1589417704/web/elements.html	C:/My%20Web%20Sites/falguni/demo.w3layouts.com/demos_new/template_demo/07-12-2021/shoppykart-liberty-demo_Free/1589417704/web/elements.html	(from https://demo.w3layouts.com/demos_new/template_demo/07-12-2021/shoppykart-liberty-demo_Free/1589417704/web/index.html)
17:33:34	9325/9325	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Apr%202022%2012:03:33%20GMT	https://demo.w3layouts.com/demos_new/template_demo/07-12-2021/shoppykart-liberty-demo_Free/1589417704/web/error.html	C:/My%20Web%20Sites/falguni/demo.w3layouts.com/demos_new/template_demo/07-12-2021/shoppykart-liberty-demo_Free/1589417704/web/error.html	(from https://demo.w3layouts.com/demos_new/template_demo/07-12-2021/shoppykart-liberty-demo_Free/1589417704/web/index.html)
17:33:34	29287/29287	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Apr%202022%2012:03:34%20GMT	https://demo.w3layouts.com/demos_new/template_demo/07-12-2021/shoppykart-liberty-demo_Free/1589417704/web/faq.html	C:/My%20Web%20Sites/falguni/demo.w3layouts.com/demos_new/template_demo/07-12-2021/shoppykart-liberty-demo_Free/1589417704/web/faq.html	(from https://demo.w3layouts.com/demos_new/template_demo/07-12-2021/shoppykart-liberty-demo_Free/1589417704/web/index.html)
